id,nameWithOwner,description,stargazerCount,forkCount,createdAt,updatedAt,isArchived,isFork,homepageUrl,license,topics,languages,openIssues,ownerType
MDEwOlJlcG9zaXRvcnkyNzYwODU1Mjg=,abskmj/hukum,An NPM module that displays Github Action progress in the terminal and aims to improve your development experience by printing status in realtime.,406,24,2020-06-30T11:56:56Z,2025-10-22T09:31:11Z,False,False,https://npmjs.com/package/hukum,MIT License,"npm, npm-module, github-actions, developer-tools, developer-experience, developer-productivity, github-api, javascript",JavaScript,4,User
R_kgDOGtEIaA,Skydio/revup,"Upload once to create multiple, relative PRs. Productivity-focused git tools with patch revision tracking, rebase detection and more. Uses python and git plumbing commands. ",360,87,2022-01-20T00:59:26Z,2025-12-24T08:25:35Z,False,False,https://github.com/Skydio/revup,MIT License,"code-review, git, github, version-control, developer-productivity, developer-tools, developers, python, python3, stacked-diffs","Python, Makefile",0,Organization
R_kgDOO8JbHw,PaulDuvall/ai-development-patterns,"A comprehensive collection of AI development patterns for building software with AI assistance, organized by implementation maturity and development lifecycle phases. Includes Foundation, Development, and Operations patterns with practical examples and anti-patterns.",293,27,2025-06-15T19:45:16Z,2025-12-17T20:52:05Z,False,False,https://paulduvall.github.io/ai-development-patterns/,MIT License,"ai-assisted-coding, ai-development, ai-tools, artificial-intelligence, automation, best-practices, ci-cd, coding-standards, developer-productivity, development-patterns","Python, Shell, HTML, JavaScript, TypeScript",0,User
R_kgDOPeic9Q,vibe-log/vibe-log-cli,A CLI tool for logging and analyzing Claude Code and Cursor ai-driven coding session.,266,19,2025-08-15T15:40:57Z,2025-12-27T16:14:01Z,False,False,https://vibe-log.dev,MIT License,"ai-coding, claude, claude-code, project-management, vibe-coding, analysis, logging, productivity, ai-assisted-development, ai-coding-assistant","JavaScript, TypeScript, Shell, HTML",3,Organization
MDEwOlJlcG9zaXRvcnk5Nzc0MDc4NQ==,telosys-tools-bricks/telosys-cli,Telosys CLI - Command Line Interface,181,27,2017-07-19T16:55:51Z,2025-12-04T14:07:24Z,False,False,https://www.telosys.org/,GNU Lesser General Public License v3.0,"telosys, generator, codegenerator, java, cli, code-generation, code-generator, codegen, dsl, model-driven","Java, Shell, Batchfile",9,Organization
R_kgDOLvAdyA,Natestah/BlitzSearch,Find-in-Files++ for Any IDE,145,5,2024-04-16T16:06:05Z,2025-12-28T04:44:39Z,False,False,,MIT License,"developer-tools, development-environment, ide, notepad-plus-plus, sublimetext, visualstudio, visualstudiocode, developer-productivity, find-in-files, jetbrains","C#, Inno Setup",15,User
R_kgDOGxiliQ,OkayHQ/ee-handbook,Engineering Effectiveness Handbook,144,24,2022-02-02T00:41:30Z,2025-12-10T14:07:52Z,False,False,https://www.okayhq.com/handbook/,Other,"analytics, dora-metrics, management, nuxt, productivity, developer-experience, developer-productivity, engineering-effectiveness, engineering-enablement","JavaScript, Vue",1,Organization
R_kgDOKFOhkQ,zeelsheladiya/Awesome-IDEs,A curated list of Integrated Development Environments (IDEs) and related tools that can enhance your coding experience and boost your productivity. ,126,16,2023-08-09T13:56:27Z,2025-12-29T05:32:55Z,False,False,,Creative Commons Zero v1.0 Universal,"awesome, awesome-list, code-editors, coding-environment, collaboration, developer-productivity, developer-tools, development-tools, embedded-systems, game-development",Markdown,0,User
R_kgDOHrxX-A,DevClad-Inc/devclad,"DevClad is a social-workspace platform for developers. Network, build, and ship your ideas rapidly.",118,5,2022-07-19T16:22:14Z,2025-11-10T05:44:40Z,False,False,https://devclad-client-landing.vercel.app/,Other,"collaboration, developer-productivity, django, django-rest-framework, go, python, react, remote-work, social, typescript","HTML, CSS, JavaScript, TypeScript, Go, Python, Shell",11,Organization
R_kgDOKwaTgw,eliphatfs/calibur,Conversion between different conventions of camera matrices and transform matrices.,101,2,2023-11-21T22:44:49Z,2025-11-19T11:39:36Z,False,False,,Apache License 2.0,"computer-graphics, computer-vision, developer-productivity, lightweight",Python,1,User
R_kgDOPLkKyw,PaulDuvall/claude-code,Transform Claude Code into a complete development platform with AI-powered commands that automate your entire software development workflow.,80,14,2025-07-13T01:31:13Z,2025-12-29T06:20:22Z,False,False,https://www.paulmduvall.com/claude-code-advanced-tips-using-commands-configuration-and-hooks/,MIT License,"ai-development, ai-tools, automation, claude-code, code-quality, debugging, developer-productivity, devops, hooks, security","Shell, Python, JavaScript, HTML",2,User
MDEwOlJlcG9zaXRvcnkzMzk2NDQzMjM=,prokopsimek/awesome-developer-experience,A curated list of Developer Experience resources and tools.,72,12,2021-02-17T07:33:38Z,2025-12-18T02:32:29Z,False,False,,Creative Commons Zero v1.0 Universal,"developer-experience, developer-productivity, developer-tools, dx, developerexperience, awesome, awesome-list, hacktoberfest",,0,User
R_kgDOGddBeA,luisaveiro/docker-reverse-proxy,Local reverse proxy for Docker containers powered by Caddy.,69,7,2021-11-30T18:13:13Z,2025-11-09T22:52:50Z,False,False,,MIT License,"caddy, docker, docker-compose, reverse-proxy, developer-tool, developer-experience, local-development, developer-productivity, local-domain",,0,User
R_kgDOGF9EKw,merico-dev/OpenMARI,The software productivity metrics and Measure-Analyze-Review-Improve framework.,58,15,2021-09-21T16:37:04Z,2025-02-15T00:17:21Z,False,False,,GNU General Public License v3.0,"software-engineering, devops, developer-productivity","JavaScript, CSS",1,Organization
R_kgDOM62ZXQ,honestyan/malas-commit,Effortlessly generate meaningful and automated commit messages using AI-powered Groq API. Perfect for developers seeking faster Git workflows with minimal effort.,56,7,2024-10-03T09:50:12Z,2025-12-20T18:52:08Z,False,False,https://www.npmjs.com/package/malas-commit,MIT License,"automated-commits, developer-productivity, git-automation, git-helper, typescript, version-control, ai-commit-groq-api, commit-message-generator, lazy-commit","JavaScript, TypeScript",0,User
R_kgDOG1HRMA,luisaveiro/localhost-databases,Collection of Database Docker compose files for local development.,53,17,2022-02-11T21:34:34Z,2025-11-29T16:46:02Z,False,False,,MIT License,"docker, docker-compose, mariadb, mongodb, mysql, postgresql, redis, database, mssql, surrealdb",,0,User
MDEwOlJlcG9zaXRvcnkxMjY0Mzk0NzQ=,custom-dev-tools/wampserver-php-cli-version-changer,WampServer PHP CLI version changer is a Microsoft Windows batch script that allows you to easily add and then change between available WampServer PHP CLI versions using the users environment 'path' variable.,53,7,2018-03-23T05:53:02Z,2025-11-19T21:15:34Z,False,False,,MIT License,"php-cli, wamp-server, cli-changer-script, php-versions, tui, changer, build-tool, developer-tools, developer-environment, development-environment",Batchfile,0,User
R_kgDOOQ6QrA,yigitkonur/repo-to-prompt,"Cross-platform CLI for exporting codebases to LLM context. Features visual trees, token-aware filtering, .gitignore compliance, and clipboard integration.",46,3,2025-03-29T23:05:50Z,2025-12-22T02:06:16Z,False,False,,,"clipboard-cli, code-analysis, developer-productivity, llm-prompting, prompt-engineering-tool, repo-to-text, token-estimation, codebase-context, context-window-optimization, cross-platform-cli",TypeScript,0,User
MDEwOlJlcG9zaXRvcnk0NTIwNzc0OA==,MagePsycho/magento2-easy-template-path-hints,Magento 2 Easy Template Path Hints,44,22,2015-10-29T20:08:38Z,2025-11-23T07:09:02Z,False,False,https://www.magepsycho.com/magento-2-easy-template-path-hints.html,,"magento, modman, magento2, magento2-extension, magento2-module, magento-2, php, php7, template, developer-tools","PHP, HTML",0,User
MDEwOlJlcG9zaXRvcnkzNjU0MDE0NjI=,sleeptil3/codelockr-react,"A website for developers to store coding-related 'snippets' like code, install steps, best-practices...anything, really, that you would usually toss in a Notes app.",33,9,2021-05-08T02:34:50Z,2025-12-22T02:06:22Z,False,False,,GNU General Public License v3.0,"react, coding, learn-to-code, developer-tools, developer-experience, developer-productivity","HTML, CSS, JavaScript",7,User
R_kgDOJW71Pw,Mattie/chatsnack,"chatsnack is the easiest Python library for rapid development with OpenAI's ChatGPT API. It's an intuitive interface for creating and managing prompts, templates, and responses, making it convenient to build complex, interactive conversations with AI.",29,2,2023-04-14T18:35:12Z,2025-06-30T00:28:55Z,False,False,,MIT License,"chatgpt, developer-productivity, gpt4, library, openai, pypi, python","Python, Jupyter Notebook",0,User
MDEwOlJlcG9zaXRvcnkzMjUwNjA4OTQ=,luisaveiro/localhost-sonarqube,Analysing source code locally with SonarQube in a Docker environment.,28,4,2020-12-28T16:28:03Z,2025-12-12T13:13:48Z,False,False,,MIT License,"docker, docker-compose, sonarqube, sonarscanner, shell-script, code-quality, static-analysis, developer-tool, code-review, developer-experience",Shell,0,User
R_kgDOKxifVA,skippy-io/skippy,Mono-repo for all Skippy projects.,25,2,2023-11-24T14:19:17Z,2025-10-10T10:53:23Z,True,False,https://www.skippy.io,Apache License 2.0,"test-impact-analysis, predictive-test-selection, regression-test-selection, developer-productivity, java, jvm, gradle, maven, junit4, junit5",Java,0,Organization
MDEwOlJlcG9zaXRvcnkyMzQ5NTgzMzc=,dominikbraun/cleanup,Remove gone Git branches with ease.,24,2,2020-01-19T20:07:24Z,2025-11-13T14:58:21Z,False,False,,Apache License 2.0,"cleanup, git, git-branches, git-tools, git-utils, git-branching, repository-management, repository-tools, collaboration, developer-tools","Go, Makefile, Dockerfile",0,User
R_kgDOPviwQA,jeremylongshore/ai-devops-intent-solutions,🤖 AI-Powered Documentation Generator | Transform Ideas into Enterprise-Ready Docs in 5 Minutes | PRD • Architecture • Tasks • Risk Management | Claude Code CLI & Cursor IDE | Zero Setup Required,23,5,2025-09-14T07:33:33Z,2025-12-20T04:32:29Z,False,True,,Apache License 2.0,"ai-agents, bmad, ci, docs, vibe, vibe-prd, claude, claude-code, documentation, enterprise","Makefile, JavaScript, Shell",0,User
MDEwOlJlcG9zaXRvcnkyODY2OTUwMDU=,avikeid2007/WinDev-Utility,A utility for windows developers,23,4,2020-08-11T08:56:07Z,2025-10-24T13:56:28Z,False,False,,MIT License,"csharp, wpf, uwp, uno-platform, xamarin, guid, xaml-source, property-editor, property-wrappers, icommand","C#, JavaScript",1,User
MDEwOlJlcG9zaXRvcnkyNDg4MDczNjg=,bloombar/gitlogstats,A command line tool to report statistics on the contributions of developer to a project.,21,20,2020-03-20T16:52:42Z,2025-06-02T18:15:48Z,False,False,https://pypi.org/project/gitlogstats/,GNU General Public License v3.0,"analysis, command-line-tool, developer-productivity, github, statistics",Python,1,User
R_kgDOGIr73w,nicklegan/github-org-repo-metrics-action,A GitHub Action to generate a report that contains various metrics for all repositories belonging to a GitHub organization.,20,9,2021-09-29T17:05:45Z,2025-11-12T20:37:45Z,False,False,,MIT License,"metrics, actions, developer-productivity, innersource, dora",JavaScript,0,User
MDEwOlJlcG9zaXRvcnkzNDE2MTYyNzE=,AuditDeploy/Builder,Next-Gen Builder,20,15,2021-02-23T16:25:04Z,2025-06-11T20:35:22Z,False,False,https://www.getbuilder.io/,Apache License 2.0,"build, build-system, build-tool, builder, developer-productivity, fast, golang, multi-language, scalable, next-gen","Go, Dockerfile, CSS, JavaScript, HTML",8,Organization
R_kgDOPF30xw,vaibhav-mattoo/cxt,Command-line tool written in Rust to extract and aggregate project context to clipboard for AI chatbots like ChatGPT or Perplexity 🚀,19,2,2025-07-02T22:20:10Z,2025-08-24T14:23:31Z,False,False,https://github.com/vaibhav-mattoo/cxt,MIT License,"ai, ai-assistant, best, chatgpt, code-sharing, developer-experience, developer-productivity, developer-tools, file-aggregation, perplexity","Shell, Rust",0,User
R_kgDOQLhMbg,ClickHouse/velocity,Velocity: report and compare team activity across GitHub repositories,18,1,2025-10-29T14:56:41Z,2025-12-07T20:14:11Z,False,False,https://velocity.clickhouse.com/,Other,"clickhouse, code-review, developer-productivity, github, review","HTML, Python",0,Organization
R_kgDOPL_aTw,manujbawa/minime-mcp,"Universal infinite memory layer for Developer AI assistants. One shared brain across Claude, Cursor, Windsurf & more. 100% local, built on MCP standard. Stop re-explaining context",18,5,2025-07-14T00:59:33Z,2025-12-21T03:01:10Z,False,False,https://recallium.ai,Other,"ai-assistant, ai-memory, claude-code, claude-desktop, cline, context-management, cursor-ide, developer-productivity, llm-memory, mcp","Makefile, JavaScript, HTML",0,User
R_kgDOQkD07Q,DylanDevelops/tmpo,A minimal CLI time tracker for developers.,17,1,2025-12-07T07:03:01Z,2025-12-28T20:53:17Z,False,False,,MIT License,"cli, developer-productivity, developer-tools, golang, timesheet, timesheet-management, timesheets",Go,3,User
R_kgDONPAvfg,neverinfamous/R2-Manager-Worker,"Cloudflare R2 Bucket Manager: Full-featured, self-hosted web app to manage R2 buckets and objects. Supports drag-and-drop uploads, batch copy/move/delete, multi-file ZIP downloads, signed share links, folder hierarchies, advanced cross-bucket search + filters (extension, size, date), S3 imports, tags & GitHub SSO via Cloudflare Zero Trust.",16,7,2024-11-13T23:01:28Z,2025-12-29T03:28:50Z,False,False,https://adamic.tech/articles/r2-manager,MIT License,"cloudflare, cloudflare-r2, cloudflare-workers, cloudflare-zero-trust, r2-storage, react, typescript, vite, webapp, developer-productivity","JavaScript, HTML, CSS, TypeScript, Dockerfile",0,User
R_kgDOGZoA0A,GoogleCloudPlatform/networking-tools-python,Tools and Utilities for Google Cloud Networking Products & Services.,16,9,2021-11-18T17:38:23Z,2025-10-06T09:12:29Z,False,False,,Apache License 2.0,"google-cloud-platform, google-cloud, developer-tools, developer-productivity",Python,1,Organization
MDEwOlJlcG9zaXRvcnkyNjcwMDc2MDc=,yggheim/k,Exec into kubernetes pod easy (via kubectl),15,0,2020-05-26T10:01:46Z,2024-05-02T11:58:48Z,False,False,,MIT License,"kubernetes, bash, kubectl, exec, productivity, developer-experience, developer-productivity, shortcut, developer-enablement, developer-tools",Shell,0,Organization
R_kgDOIl-W2w,hwixley/WYX-CLI,Swiss-army-knife CLI compatible with BASH & ZSH on Debian and Macintosh with an array of utilities for optimising your development workflow and productivity in the terminal,14,2,2022-12-10T17:01:20Z,2025-12-25T16:14:39Z,False,False,https://hwixley.github.io/WYX-CLI/,MIT License,"bash, cli, terminal, zsh, useful-bash-scripts, developer-productivity, developer-tools, productivity, automation, git","Shell, Python, C",0,User
MDEwOlJlcG9zaXRvcnkzNzMwOTU1NjI=,shravanasati/stellapy,Streamline your web dev experience with stella - reload commands on the terminal as well as URL on the browser.,14,0,2021-06-02T08:46:13Z,2025-07-23T13:06:57Z,False,False,https://pypi.org/project/stellapy,MIT License,"stella, web, dev, developer-tools, productivity-tools, developer-productivity, cli, python, reload, restart",Python,0,User
R_kgDOKLx-yg,mikaelvesavuori/gitanalyzed,Therapy for Your Code — Decode Your Repository's Mind!,12,2,2023-08-26T15:33:24Z,2025-02-15T00:18:27Z,False,False,,MIT License,"analytics, code-analysis, debt, developer-experience, developer-productivity, dx, git, git-analysis, technical-debt, debt-analysis",Shell,0,User
R_kgDOPx6LaQ,RichGod93/bffgen,"CLI tool for generating secure Backend-for-Frontend (BFF) services with Go, Nodejs, and Python",11,0,2025-09-17T19:50:10Z,2025-12-28T20:48:17Z,False,False,https://www.npmjs.com/package/bffgen,MIT License,"cli, developer-experience, golang, backend-for-frontend, cli-tool, code-generator, developer-productivity, nodejs, fastapi, python","Go, Makefile, Shell, JavaScript, Dockerfile, Python",0,User
R_kgDOPS5QtQ,vibehat/claude-task-manager,Personal AI project manager with Claude Code integration and persistent context,11,2,2025-07-25T22:54:07Z,2025-12-08T01:32:35Z,False,False,https://github.com/minhlucvan/claude-task-manager,MIT License,"ai-coding-assistant, ai-development, anthropic, claude-code, context-aware-ai, developer-productivity, llm-tools, local-first, nextjs, project-memory","JavaScript, TypeScript, CSS, Shell, HTML",0,Organization
MDEwOlJlcG9zaXRvcnkxMDU4ODk1Mzk=,xyproto/sealion,:ocean: Command line lunch reminder,11,0,2017-10-05T12:52:14Z,2025-08-03T07:11:07Z,False,False,,MIT License,"zsh, prompt, bash, fish, reminder, productivity, lunch, notification, utility, cli","Python, Shell, Makefile",0,User
R_kgDOQL4_Qw,neverinfamous/d1-manager,"Cloudflare D1 Database Manager: Full-featured web console for D1 with visual schema design, ER diagrams, cascade simulator, circular dependency detection, undo/rollback & time-travel history, FTS5 tools, replication controls, analytics, Drizzle ORM integration, scheduled R2 backups, job tracking, webhook automation, and Zero Trust/GitHub SSO.",10,2,2025-10-30T05:16:47Z,2025-12-27T20:05:41Z,False,False,https://adamic.tech/articles/d1-manager,MIT License,"cloudflare, cloudflare-d1, developer-tools, cloudflare-zero-trust, developer-productivity, developer-utility, github-sso, react, typescript, vite","JavaScript, HTML, TypeScript, CSS, Dockerfile",0,User
MDEwOlJlcG9zaXRvcnk0MDUwODA0ODc=,nicklegan/github-org-code-frequency-action,A GitHub Action to generate a report that contains code frequency metrics and programming languages used per repository belonging to a GitHub organization.,10,5,2021-09-10T12:54:38Z,2025-08-24T05:53:21Z,False,False,,MIT License,"github-enterprise, organization, metrics, actions, report, lines-of-code, developer-productivity",JavaScript,0,User
MDEwOlJlcG9zaXRvcnkzNjAzNTMwODg=,angeliski/awesome-developer-experience,"Learn how to help your developer team to build fast, better and  happy.",10,0,2021-04-22T01:10:47Z,2024-12-20T15:25:59Z,False,False,https://awesome-exp.dev/,MIT License,"awesome-list, awesome, developer-tools, developer-experience, dx, developer-productivity","JavaScript, CSS",0,User
MDEwOlJlcG9zaXRvcnkzNTY0MDcyMDA=,luisaveiro/dev.env,Kick start your development environment while making a cup of coffee.,10,1,2021-04-09T21:57:21Z,2025-10-21T02:43:14Z,False,False,,MIT License,"shell-script, development-environment, onboarding, project-management, developer-tools, developer-experience, developer-tool, developer-productivity, protype",Shell,0,User
MDEwOlJlcG9zaXRvcnkyMzEzODA2NzQ=,julienreszka/dev-career-tips,Career tips for new and experienced developers,10,2,2020-01-02T12:47:32Z,2023-07-05T01:35:35Z,False,False,,,"career-development, career-guide, developer-productivity, project-management, awesome-list, career-tips",,0,User
R_kgDOQMWCDQ,AmadeusITGroup/prompt-registry,"VS Code extension for managing, sharing, and installing AI prompt collections for GitHub Copilot and other AI assistants",9,5,2025-10-30T18:55:03Z,2025-12-20T02:08:22Z,False,False,,Apache License 2.0,"ai-assistant, ai-tools, code-generation, collaboration-tools, copilot-chat, developer-experience, developer-productivity, developer-tools, github-copilot, prompt-engineering","JavaScript, TypeScript, Shell",23,Organization
R_kgDOPjkGTQ,bwads001/claude-code-agents,"🤖 Multi-agent orchestration system for Claude Code featuring specialized agents, workflow modes, automated quality gates, and comprehensive development tooling",9,2,2025-08-24T22:47:38Z,2025-10-25T21:02:13Z,False,False,,MIT License,"ai-agents, anthropic, claude-code, code-quality, developer-productivity, development-tools, multi-agent-system, orchestration, workflow-automation","Shell, Python",0,User
R_kgDOMzxirQ,DivitMittal/TLTR,Cross-platform multi-layer keyboard layout tailored for programmers,9,2,2024-09-19T00:08:39Z,2025-12-22T18:14:15Z,False,False,https://deepwiki.com/DivitMittal/TLTR,MIT License,"developer-productivity, kanata, karabiner-elements, keyboard-layout, tltr, keyboard, ergonomic-keyboard, keymap-drawer, qmk, raspberry-pi-pico","Nix, Common Lisp, Shell, C, Makefile",2,User
R_kgDOJvfgyw,yashrajb/devtrackr-vscode-extension,Track and Document Your Weekly Work with devtrackr!,9,4,2023-06-14T18:07:19Z,2025-01-29T18:49:54Z,False,False,https://marketplace.visualstudio.com/items?itemName=yashrajbasan.devtrackr,GNU General Public License v3.0,"developer-productivity, layoffs, vscode-extension, hacktoberfest, hacktoberfest2023, developer, developer-experience, developer-tool, open-source-project",JavaScript,1,User
MDEwOlJlcG9zaXRvcnkzMDA1NTQ3NTg=,cooperj/setup-windows,🪟 A collection of scripts to run on a clean install of Windows.,9,0,2020-10-02T08:46:08Z,2025-10-07T11:53:35Z,True,False,,MIT License,"windows, windows10, script, powershell, automation, tools, developer-tools, developer-toolkit, developer-productivity, developer-productivity-tool",PowerShell,0,User
MDEwOlJlcG9zaXRvcnkyMzQxMjMxNDA=,alchaplinsky/devion,🧑‍💻One Command to Run All your Projects in Development,9,1,2020-01-15T16:26:41Z,2022-09-09T18:25:43Z,False,False,,MIT License,"command-line, command-line-tool, development, development-environment, environment-configuration, projects, developer-productivity",JavaScript,0,User
R_kgDOQRzEjQ,Smart-AI-Memory/empathy-framework,"Combining a five-level AI framework with git-native memory overcomes session amnesia, enabling anticipation of problems weeks early. Production results: 2000x cost reduction, 10x+ productivity, shifting AI from reactive to predictive partnership through emotional intelligence, tactical empathy, and systems thinking.",8,4,2025-11-08T15:11:44Z,2025-12-29T05:48:57Z,False,False,https://smartaimemory.com,Other,"ai, ai-collaboration, anthropic, artificial-intelligence, claude-code, code-analysis, debugging, developer-productivity, developer-tools, developer-tools-monorepo","Python, Shell, TypeScript, CSS, JavaScript, MDX, HTML, Kotlin, Procfile, Dockerfile",0,Organization
R_kgDOP4MSPA,rembertdesigns/Supercharged-AI-Dev-Tools,"Supercharged AI Dev Tools is an open, expertly curated directory for the latest and most powerful AI coding assistants, LLMs, autocompletion engines, and automation agents. Discover tools that accelerate software engineering, enhance code quality, automate reviews and testing, and let you build applications faster than ever—all powered by AI.",8,2,2025-09-28T00:51:31Z,2025-12-10T15:51:46Z,False,False,,MIT License,"ai-coding-tools, ai-powered-tools, automation, autonomous-agents, awesome-list, code-assistant, code-generation, code-review, developer-productivity, developer-tools",,0,User
R_kgDOKEPZVA,pratyushtiwary/devty,Developer Utilities & Tools,8,5,2023-08-07T06:35:38Z,2025-08-26T21:30:05Z,False,False,https://devty.vercel.app,MIT License,"developer-productivity, developer-tools, devtools","JavaScript, HTML, Vue, CSS, TypeScript",10,User
MDEwOlJlcG9zaXRvcnkzOTUzMzcxNDM=,nicklegan/github-org-member-contribution-action,A GitHub Action to generate a report that contains member contribution data for a set interval belonging to a GitHub organization.,8,11,2021-08-12T13:58:44Z,2025-12-10T17:25:02Z,False,False,,MIT License,"report, actions, organization, metrics, github-enterprise, contribution, developer-productivity",JavaScript,0,User
MDEwOlJlcG9zaXRvcnkxMzMwODI0NzA=,jillmpla/devtools,"Curated tools for devs, designers & data scientists, from IDEs & APIs to ML, docs, security, and design. Find what you need, fast!",8,0,2018-05-11T19:50:23Z,2025-09-15T18:03:39Z,False,False,http://jillmplatts.com/devtools/,,"developer-productivity, developer-resources, tips-and-tricks, developer-tools, fullstack, fullstack-development, software-development",HTML,0,User
R_kgDOPyc00A,Ghenwy/claude-code-toolkit,"🚀 AI-powered development toolkit for Claude Code - Automate planning, orchestrate agents, monitor health, maintain quality",7,0,2025-09-18T15:15:29Z,2025-10-31T15:41:47Z,False,False,https://github.com/Ghenwy/claude-code-toolkit,MIT License,"ai-agents, ai-assistant, ai-tools, automation-framework, claude, claude-ai, claude-code, cli-tools, code-automation, developer-productivity","Shell, Python",0,User
R_kgDONg51Lw,VArtzy/doit,Seamless Windows terminal-based TODO manager for lazy programmers. Run for first terminal session of the day and auto deleted unmarked tomorrow todos,7,0,2024-12-22T09:52:24Z,2025-11-15T16:23:55Z,False,False,,Apache License 2.0,"cli, developer-productivity, developer-tools, todoapp, windows, productivity",C,1,User
R_kgDONd87-w,IndieCoderMM/comix,Gamified commits tracker to make coding fun and engaging,7,1,2024-12-15T16:41:19Z,2025-05-01T16:33:26Z,False,False,https://comix-dev.vercel.app,MIT License,"nextjs, postgresql, trpc, apollo, developer-productivity, drizzle-orm, gamification, github, redis, shadcn-ui","TypeScript, JavaScript, CSS, Dockerfile",1,User
R_kgDOHf4zEw,unflakable/unflakable-python,Official Unflakable Plugins for Python,7,0,2022-06-14T03:42:42Z,2024-12-25T09:50:58Z,True,False,https://unflakable.com,MIT License,"automation, ci, ci-cd, cicd, developer-productivity, developer-tools, devtools, flakiness, flaky, flaky-tests",Python,0,Organization
R_kgDOGjTqbw,exajobs/macOS-tools-collection,"An ongoing curated list of OS X best applications, libraries, frameworks and tools to help developers set up their macOS Laptop.",7,0,2021-12-18T17:29:20Z,2025-07-13T21:31:25Z,False,False,,MIT License,"macos, watchos, ios, ios-swift, xcode12, developer-tools, development-environment, developer-experience, developer-productivity, software-engineering","Shell, CSS, JavaScript, Python",0,User
